,base_mean,lora_mean,p_value,improvement
medical_rouge1_f,0.4692476261496419,0.39010743542693505,0.0002076067340420366,-16.865336405019814
medical_rouge2_f,0.16741289018335806,0.09372518265873608,4.763753910842234e-06,-44.01555187531612
medical_rougeL_f,0.26960660330564634,0.19976977841350646,2.4914837894658424e-05,-25.903232352572463
medical_bertscore_f,0.8840793371200562,0.8539250493049622,0.0,-3.4108124179582657
engineering_rouge1_f,0.4399830079381681,0.3451092493208188,0.000761086541728311,-21.56305059641806
engineering_rouge2_f,0.18075622189062793,0.08966898266968176,0.0007741472774392293,-50.392311959286964
engineering_rougeL_f,0.26351558655241303,0.20372134836131053,0.006141657156130976,-22.69096829276528
engineering_bertscore_f,0.8736822009086609,0.8396312594413757,0.0,-3.8974058796059885
scientific_rouge1_f,0.44910340440742136,0.38484736759039495,0.00486727937225607,-14.307626303080545
scientific_rouge2_f,0.18286167375145781,0.11607464191660631,4.859378730210555e-05,-36.523253049530325
scientific_rougeL_f,0.26837453130095174,0.20584294628976907,3.754989532968954e-05,-23.300118944990555
scientific_bertscore_f,0.8806588649749756,0.8477981090545654,0.0,-3.7313830845663394
