video_id,domain,model_type,summary,rouge1_f,rouge2_f,rougeL_f,bertscore_f
uOcpsXMJcJk,medical,base,"Ibuprofen and other painkillers are ingested and travel through the digestive system, where they dissolve in the stomach and move into the small intestine. They then pass into the bloodstream and head to the liver. In the liver, some of the drug is metabolized by enzymes, but most of it makes it through unchanged. The drug then circulates throughout the body, binding to specific target molecules in areas where pain is present to block the production of pain signals.",0.4225352112676056,0.1702127659574468,0.2605633802816901,0.8840793371200562
jP0qT6GpBVY,medical,base,"A heart attack occurs when the heart's blood supply is blocked, usually by a buildup of fatty deposits or plaque in the coronary arteries. This can lead to a partial or complete blockage, reducing the flow of oxygenated blood to the heart muscles. If the plaque ruptures, the body forms blood clots, leading to a complete blockage and the death of heart cells. This can result in the heart stopping to pump blood, potentially leading to serious health complications or even death. Common signs of a heart attack include chest pain or discomfort, spreading to the left arm, neck, jaw, or back, as well as subtle symptoms such as shortness of breath, nausea, or lightheadedness. It's essential to understand these warning signs and seek help immediately to prevent further damage.",0.5374149659863946,0.2054794520547945,0.2993197278911564,0.8840793371200562
7D-gxaie6UI,medical,base,"Tuberculosis, a disease that has existed for three million years and has gone by various names throughout history, remains a significant cause of death despite medical advancements. It has been mentioned in ancient texts and evidence of it has been found in mummies. Despite the availability of vaccines, antibiotics, and clean water, tuberculosis killed more people than malaria, typhoid, cholera, homicide, and war combined in 2022. The disease has shaped human history and reveals fundamental truths about humanity. Despite the fact that diseases, including tuberculosis, are a leading cause of death, they are often overlooked in historical studies. The author suggests that illness should be given more attention in literature and history, as it is a universal experience. Despite our advanced capabilities, many people continue to die from tuberculosis, raising questions about why we have not been able to eradicate it completely.",0.4107142857142857,0.07185628742514968,0.19047619047619047,0.8840793371200562
JNTOahIeCfA,medical,base,"In this video, the speaker discusses the major systems of the human body, including the skeletal, muscular, cardiovascular, nervous, respiratory, digestive, urinary, endocrine, lymphatic, and reproductive systems. The skeletal system, made up of bones and joints, provides structure and support, protects organs, and produces blood cells. The muscular system, consisting of muscles that contract and relax, is responsible for movement and maintaining posture. The cardiovascular system transports blood and oxygen throughout the body, while the nervous system controls body functions through the brain and nervous tissue. The respiratory system enables breathing and gas exchange, the digestive system processes food and nutrients, the urinary system eliminates waste, the endocrine system produces hormones, the lymphatic system defends against infection, and the reproductive system facilitates reproduction.",0.5083333333333333,0.18487394957983191,0.31666666666666665,0.8840793371200562
e06y0rZ1-Ws,medical,base,"Dr. Justin Song shares his experience of going to medical school and the mistakes he made that he wishes he could go back and change. He over-engineered his learning style for exams, which worked well in his pre-clinical years but failed him during his clinical attachments in his third year. This led to his failure in his general medicine attachment, despite doing well in preclinical examinations. He suggests that students should not focus solely on exam preparation and instead develop a more flexible and adaptable learning approach for clinical attachments.",0.43727598566308246,0.17328519855595667,0.2724014336917563,0.8840793371200562
yQ6VOOd73MA,medical,base,"The brain is a mystery responsible for our thoughts, feelings, and personality, but a significant portion of its functions occur unconsciously. We may feel in control of our actions, but our brains may have other ideas. The brain, containing approximately 90 billion neurons, creates the illusion of a single person in control. Environmental factors and traumatic events can shape our personality and morality, which are also housed in the brain. Our decisions and actions are not always clear-cut, and our brains may influence us to do things we didn't plan. The brain is a complex and intricate organ, and most of its functions remain unknown to us.",0.39846743295019166,0.11583011583011582,0.20689655172413793,0.8840793371200562
HUP9nQdpUyM,medical,base,"This program aims to explain why someone might be referred to a gastroenterologist for a medical procedure, specifically gastroscopy or colonoscopy. The program is divided into three sections: an introduction to gastroenterology, gastroscopy, and colonoscopy. In the first section, the basic anatomy of the gastrointestinal system is reviewed, focusing on the organs responsible for food digestion: the esophagus, stomach, small intestine, and large intestine.

The esophagus, a muscular tube about 15 to 17 inches long, connects the mouth to the stomach. It acts as a pipe, with a ring-like muscle at the bottom serving as a valve to prevent food and stomach acid from flowing back into the throat. The stomach, a sac-shaped organ, follows the esophagus and is responsible for breaking down food using acid and enzymes.

In the second section, gastroscopy is discussed as a procedure that allows a doctor to examine the inside of the esophagus, stomach, and first part of the small intestine using a flexible tube with a camera and light at the end.",0.5577464788732394,0.2719546742209632,0.3549295774647887,0.8840793371200562
Og5xAdC8EUI,medical,base,"The digestive system is a complex and diverse system in the human body, responsible for transforming food into nutrients and energy. It consists of four main components: the gastrointestinal tract, a twisting channel for transporting food with an internal surface area of 30-40 square meters; the pancreas, gallbladder, and liver, a trio of organs that break down food using special juices; the body's enzymes, hormones, nerves, and blood; and the mesentery, a large tissue that supports and positions digestive organs. The digestive process begins in the mouth with saliva production and chewing, which breaks down starch. Food then travels down the esophagus and into the stomach, where it is mixed with gastric juices to begin the process of breaking down proteins and fats. The food then moves into the small intestine, where nutrients are absorbed into the bloodstream, and into the large intestine, where water is absorbed and waste is formed. The waste is eliminated from the body through the rectum and anus. The digestive process is a continuous and intricate process that enables humans to",0.6318681318681318,0.3038674033149172,0.41208791208791207,0.8840793371200562
9-XoM2144tk,medical,base,"Doping is the use of illegal substances or methods to enhance athletic performance. Lance Armstrong is a famous example of doping through blood manipulation. Erythrocytes, or red blood cells, are the most abundant type of cell in the blood and play a crucial role in delivering oxygen to the body. They are unique in that they can go to places other cells cannot and purge themselves of their inner belongings. However, they have a short lifespan and must be respected. Doping erythrocytes is not advisable as it can have negative consequences.",0.40282685512367494,0.09252669039145907,0.19787985865724383,0.8840793371200562
oT5pDvdMzhk,medical,base,"Alzheimer's disease is a progressive brain disorder affecting tens of millions of people worldwide, accounting for 60-80% of all dementia cases. It gradually destroys memory and cognitive abilities, causing emotional and financial strain on patients and families. While doctors have studied Alzheimer's for decades, there is no effective preventive treatment or cure. The disease is caused by a complex interaction of multiple genes and lifestyle/environmental factors, making it difficult to predict who will develop it. Alzheimer's involves a long chronic process that starts in the brain one to two decades before symptoms appear, making it challenging to pinpoint the exact cause. Continued research is ongoing to better understand the disease and find new treatments.",0.42172523961661346,0.15434083601286175,0.24920127795527156,0.8840793371200562
